POSTAL_COD,ROAD_NAME,BUILDING_N,Dest,Service_Feedback
198714,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,MBS,Very Good
198729,NORTH BRIDGE ROAD,,Marina Barrage,Good
198731,NORTH BRIDGE ROAD,,Marina Barrage,So So
198744,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,MBS,Not Good
198746,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,Very Good
198772,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,GBTB,Good
198774,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,MBS,So So
198777,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,Not Good
198783,NORTH BRIDGE ROAD,NORTH BRIDGE ROAD MARKET & FOOD CENTRE,Suntec City,Very Good
198784,NORTH BRIDGE ROAD,SOUTHBANK,MBS,Good
198785,NORTH BRIDGE ROAD,SOUTHBANK,Novena Square,So So
198786,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Night Safari,Not Good
199553,BEACH ROAD,,Suntec City,Very Good
199556,BEACH ROAD,THE CONCOURSE,Botanic Gardens,Good
199559,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,Night Safari,So So
199560,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,Night Safari,Not Good
199560,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,Night Safari,Very Good
199561,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,Very Good
199563,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,Suntec City,Good
199571,BEACH ROAD,,Marina Barrage,So So
199572,BEACH ROAD,KAMPONG GLAM CONSERVATION AREA,GBTB,Not Good
199586,BEACH ROAD,CALTEX BEACH ROAD,Sentosa,Very Good
199587,BEACH ROAD,,Sentosa,Good
199588,BEACH ROAD,GOLDEN MILE COMPLEX,Night Safari,So So
199589,BEACH ROAD,GOLDEN MILE TOWER,Night Safari,Not Good
199590,BEACH ROAD,THE PLAZA,Night Safari,Very Good
199591,BEACH ROAD,THE PLAZA,Marina Barrage,Good
199592,BEACH ROAD,THE PLAZA,GBTB,So So
199593,BEACH ROAD,THE PLAZA,Suntec City,Not Good
199594,BEACH ROAD,THE PLAZA,MBS,Very Good
199595,BEACH ROAD,THE PLAZA,Novena Square,Good
199598,BEACH ROAD,PREMIER INN,Singapore Polytechnic,So So
199599,BEACH ROAD,CONCOURSE SKYLINE,Night Safari,Not Good
200632,VEERASAMY ROAD,ROWELL COURT,Raffles Institution,Very Good
200633,VEERASAMY ROAD,ROWELL COURT,The Interlace,Good
200634,VEERASAMY ROAD,ROWELL COURT,Lau Pa Sat,So So
200635,VEERASAMY ROAD,ROWELL COURT,TTSH,Not Good
200636,VEERASAMY ROAD,ROWELL COURT,Sentosa,Very Good
200637,VEERASAMY ROAD,HDB-ROWELL COURT,Singapore Polytechnic,Good
200638,VEERASAMY ROAD,MULTI STOREY CAR PARK,Singapore Polytechnic,So So
200639,ROWELL ROAD,HDB-ROWELL COURT,Sentosa,Not Good
200640,ROWELL ROAD,HDB-ROWELL COURT,Singapore Polytechnic,Very Good
200642,ROWELL ROAD,HDB-ROWELL COURT,Raffles Institution,Good
200804,KING GEORGE'S AVENUE,HDB-KALLANG/WHAMPOA,Lau Pa Sat,So So
200805,KING GEORGE'S AVENUE,HDB-KALLANG/WHAMPOA,TTSH,Not Good
200806,KING GEORGE'S AVENUE,HDB-KALLANG/WHAMPOA,Sentosa,Very Good
200809,FRENCH ROAD,KITCHENER COMPLEX,Singapore Polytechnic,Good
200811,FRENCH ROAD,HDB-KALLANG/WHAMPOA,Raffles City,So So
200813,JELLICOE ROAD,LAVENDER GARDENS,The Interlace,Not Good
200815,JELLICOE ROAD,LAVENDER GARDENS,TTSH,Very Good
200817,JELLICOE ROAD,LAVENDER GARDENS,Sentosa,Good
207412,UPPER WELD ROAD,LITTLE INDIA CONSERVATION AREA,Raffles Institution,So So
207721,SYED ALWI ROAD,,Raffles City,Not Good
207721,SYED ALWI ROAD,,Raffles City,Very Good
207752,SYED ALWI ROAD,,Raffles Institution,Good
207753,SYED ALWI ROAD,,The Interlace,So So
207755,SYED ALWI ROAD,,TTSH,Not Good
207756,SYED ALWI ROAD,,Night Safari,Very Good
207799,SYED ALWI ROAD,,Sentosa,Good
208142,PERAK ROAD,CHURCH OF THE TRUE LIGHT,Raffles Institution,So So
208513,KITCHENER ROAD,,The Interlace,Not Good
208534,KITCHENER ROAD,,Lau Pa Sat,Very Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,So So
208559,KING GEORGE'S AVENUE,,Marina Barrage,Not Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,Very Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,So So
208559,KING GEORGE'S AVENUE,,Marina Barrage,Not Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,Very Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,Good
208559,KING GEORGE'S AVENUE,,Marina Barrage,So So
208559,KING GEORGE'S AVENUE,,Marina Barrage,Not Good
208569,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Very Good
208569,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Good
208569,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,So So
208569,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Not Good
208570,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Very Good
208570,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Good
208570,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,So So
208580,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Not Good
208580,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Very Good
208580,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,Good
208580,KING GEORGE'S AVENUE,KING GEORGE'S BUILDING,Marina Barrage,So So
208852,JALAN BESAR,CENTRAL 65 HOSTEL & CAFE,Raffles Institution,Not Good
208910,JALAN BESAR,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,Night Safari,Very Good
208929,JALAN BESAR,,Sentosa,Good
208929,JALAN BESAR,,Sentosa,So So
208929,JALAN BESAR,,Sentosa,Not Good
208932,JALAN BESAR,,Raffles Institution,Very Good
208932,JALAN BESAR,,Raffles Institution,Good
208933,JALAN BESAR,,The Interlace,So So
208933,JALAN BESAR,,The Interlace,Not Good
208934,JALAN BESAR,SOCIETY BACKPACKERS' HOTEL,Lau Pa Sat,Very Good
208935,JALAN BESAR,,TTSH,Good
208943,JALAN BESAR,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,The Interlace,So So
208945,JALAN BESAR,,TTSH,Not Good
208947,JALAN BESAR,,Marina Barrage,Very Good
208949,JALAN BESAR,HO TAT SONG BUILDING,Marina Barrage,Good
209080,HORNE ROAD,,Marina Barrage,So So
209082,HORNE ROAD,,Raffles Institution,Not Good
209083,HORNE ROAD,,The Interlace,Very Good
209084,HORNE ROAD,,Lau Pa Sat,Good
209745,CUFF ROAD,LITTLE INDIA CONSERVATION AREA,TTSH,So So
210661,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),Raffles City,Not Good
210663,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),The Interlace,Very Good
210665,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),TTSH,Good
210671,KLANG LANE,MULTI STOREY CAR PARK,Raffles City,So So
210681,RACE COURSE ROAD,HDB-KALLANG/WHAMPOA,Raffles City,Not Good
210682,RACE COURSE ROAD,HDB-KALLANG/WHAMPOA,Raffles Institution,Very Good
210683,TESSENSOHN ROAD,HDB-KALLANG/WHAMPOA,The Interlace,Good
211671,KLANG LANE,HDB-CENTRAL AREA,Raffles City,So So
212671,KLANG LANE,HDB-CENTRAL AREA,Raffles City,Not Good
212672,KLANG LANE,HDB-CENTRAL AREA,Raffles Institution,Very Good
217602,TRURO ROAD,,Raffles Institution,Good
217827,SING JOO WALK,,Night Safari,So So
217885,SING AVENUE,,TTSH,Not Good
217891,SING AVENUE,,Raffles City,Very Good
217914,SING AVENUE,,Lau Pa Sat,Good
217916,SING AVENUE,,Night Safari,So So
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,Not Good
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,Very Good
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,Good
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,So So
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,Not Good
217984,SERANGOON ROAD,LITTLE INDIA CONSERVATION AREA,Lau Pa Sat,Very Good
218067,SERANGOON ROAD,BROADWAY HOTEL,Sentosa,Good
218067,SERANGOON ROAD,BROADWAY HOTEL,Sentosa,So So
218078,SERANGOON ROAD,,Marina Barrage,Not Good
218078,SERANGOON ROAD,,Marina Barrage,Very Good
218078,SERANGOON ROAD,,Marina Barrage,Good
218079,SERANGOON ROAD,,Marina Barrage,So So
218080,SERANGOON ROAD,,Marina Barrage,Not Good
218083,SERANGOON ROAD,,The Interlace,Very Good
218083,SERANGOON ROAD,,The Interlace,Good
218084,SERANGOON ROAD,,Lau Pa Sat,So So
218084,SERANGOON ROAD,,Lau Pa Sat,Not Good
218084,SERANGOON ROAD,,Lau Pa Sat,Very Good
218115,SERANGOON ROAD,,TTSH,Good
218115,SERANGOON ROAD,,TTSH,So So
218115,SERANGOON ROAD,,TTSH,Not Good
218144,SERANGOON ROAD,,Lau Pa Sat,Very Good
218145,SERANGOON ROAD,,TTSH,Good
218147,SERANGOON ROAD,,Marina Barrage,So So
218152,SERANGOON ROAD,SHELL SERANGOON ROAD,Raffles Institution,Not Good
218158,SERANGOON ROAD,,Marina Barrage,Very Good
218181,SERANGOON ROAD,,Raffles City,Good
218183,SERANGOON ROAD,,The Interlace,So So
218185,SERANGOON ROAD,,TTSH,Not Good
218421,RANGOON ROAD,,Raffles City,Very Good
218451,RANGOON ROAD,HONG BUILDING,Raffles City,Good
218453,RANGOON ROAD,HONG BUILDING,The Interlace,So So
218666,RACE COURSE ROAD,,Singapore National Museum,Not Good
218666,RACE COURSE ROAD,,Singapore National Museum,Very Good
218668,RACE COURSE ROAD,,Singapore National Museum,Good
218668,RACE COURSE ROAD,,Singapore National Museum,So So
218671,RACE COURSE ROAD,,Raffles City,Not Good
218671,RACE COURSE ROAD,,Raffles City,Very Good
218693,RACE COURSE ROAD,,The Interlace,Good
218695,RACE COURSE ROAD,,TTSH,So So
218697,RACE COURSE ROAD,RACE COURSE ROAD/OWEN ROAD CONSERVATION AREA,Marina Barrage,Not Good
218699,RACE COURSE ROAD,,Sentosa,Very Good
219257,KENG LEE ROAD,,Marina Barrage,Good
219259,KENG LEE ROAD,,Marina Barrage,So So
219330,JOO AVENUE,,Night Safari,Not Good
219609,CARLISLE ROAD,,Marina Barrage,Very Good
219610,CARLISLE ROAD,,Marina Barrage,Good
219615,CARLISLE ROAD,,TTSH,So So
219616,CARLISLE ROAD,,Marina Barrage,Not Good
219621,CARLISLE ROAD,,Raffles City,Very Good
219716,CAMBRIDGE ROAD,,Marina Barrage,Good
219717,CAMBRIDGE ROAD,,Marina Barrage,So So
219718,CAMBRIDGE ROAD,,Marina Barrage,Not Good
219733,CAMBRIDGE ROAD,,The Interlace,Very Good
219734,CAMBRIDGE ROAD,,Lau Pa Sat,Good
219737,CAMBRIDGE ROAD,,Marina Barrage,So So
219738,CAMBRIDGE ROAD,,Botanic Gardens,Not Good
219739,CAMBRIDGE ROAD,,Marina Barrage,Very Good
219740,CAMBRIDGE ROAD,,Botanic Gardens,Good
219741,CAMBRIDGE ROAD,,Raffles City,So So
219742,CAMBRIDGE ROAD,,Raffles Institution,Not Good
227986,WINSTEDT ROAD,MONKS HILL FLAT,Singapore Polytechnic,Very Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,So So
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Not Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Very Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,So So
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Not Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Very Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Good
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,So So
228185,SOPHIA ROAD,FAIRHAVEN,TTSH,Not Good
228186,SOPHIA ROAD,THE PRESBYTERIAN CHURCH IN SINGAPORE,Marina Barrage,Very Good
228186,SOPHIA ROAD,THE PRESBYTERIAN CHURCH IN SINGAPORE,Marina Barrage,Good
228186,SOPHIA ROAD,THE PRESBYTERIAN CHURCH IN SINGAPORE,Marina Barrage,So So
228215,SCOTTS ROAD,FAR EAST PLAZA,TTSH,Not Good
228216,SCOTTS ROAD,FAR EAST PLAZA,Botanic Gardens,Very Good
228217,SCOTTS ROAD,FAR EAST PLAZA,Botanic Gardens,Good
228579,MONK'S HILL ROAD,MONKS HILL FLAT,Botanic Gardens,So So
228722,MACKENZIE ROAD,,Raffles Institution,Not Good
228722,MACKENZIE ROAD,,Raffles Institution,Very Good
228722,MACKENZIE ROAD,,Raffles Institution,Good
228722,MACKENZIE ROAD,,Raffles Institution,So So
228878,KAMPONG JAVA ROAD,,Marina Barrage,Not Good
228879,KAMPONG JAVA ROAD,,Night Safari,Very Good
228880,KAMPONG JAVA ROAD,,Marina Barrage,Good
228881,KAMPONG JAVA ROAD,,Raffles City,So So
229218,HOOPER ROAD,,Marina Barrage,Not Good
229431,EMERALD HILL ROAD,,Raffles City,Very Good
229630,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,Sentosa,Good
229631,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,Raffles City,So So
229632,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,Raffles Institution,Not Good
229633,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,The Interlace,Very Good
229634,CAVENAGH ROAD,WATERSCAPE AT CAVENAGH,Lau Pa Sat,Good
229710,CAIRNHILL ROAD,,Sentosa,So So
229711,CAIRNHILL ROAD,,Raffles City,Not Good
229712,CAIRNHILL ROAD,,Raffles Institution,Very Good
229713,CAIRNHILL ROAD,,The Interlace,Good
229715,CAIRNHILL ROAD,,TTSH,So So
229716,CAIRNHILL ROAD,,Sentosa,Not Good
229747,CAIRNHILL RISE,THE VERMONT ON CAIRNHILL,Sentosa,Very Good
229834,BUKIT TIMAH ROAD,TAN KONG TIEN BUILDING,Lau Pa Sat,Good
229860,BUKIT TIMAH ROAD,,Sentosa,So So
229860,BUKIT TIMAH ROAD,,Sentosa,Not Good
229860,BUKIT TIMAH ROAD,,Sentosa,Very Good
237973,ORCHARD BOULEVARD,THE ORCHARD RESIDENCES,The Interlace,Good
238014,TONG WATT ROAD,THE WHARF RESIDENCE,Lau Pa Sat,So So
238015,TONG WATT ROAD,THE WHARF RESIDENCE,TTSH,Not Good
238016,TONG WATT ROAD,THE WHARF RESIDENCE,Marina Barrage,Very Good
238017,TONG WATT ROAD,THE WHARF RESIDENCE,Sentosa,Good
238018,TONG WATT ROAD,THE WHARF RESIDENCE,Marina Barrage,So So
238019,TONG WATT ROAD,THE WHARF RESIDENCE,Marina Barrage,Not Good
238020,TONG WATT ROAD,THE WHARF RESIDENCE,Sentosa,Very Good
238021,TONG WATT ROAD,THE WHARF RESIDENCE,Raffles City,Good
238022,TONG WATT ROAD,THE WHARF RESIDENCE,Raffles Institution,So So
238023,TONG WATT ROAD,THE WHARF RESIDENCE,The Interlace,Not Good
238024,TONG WATT ROAD,THE WHARF RESIDENCE,Lau Pa Sat,Very Good
238165,SOMERSET ROAD,THE RED BOX,TTSH,Good
238165,SOMERSET ROAD,THE RED BOX,TTSH,So So
238279,RIVER VALLEY ROAD,,Marina Barrage,Not Good
238280,RIVER VALLEY ROAD,,Changi Airport,Very Good
238281,RIVER VALLEY ROAD,,Raffles City,Good
238285,RIVER VALLEY ROAD,,TTSH,So So
238297,RIVER VALLEY ROAD,,Marina Barrage,Not Good
238300,RIVER VALLEY ROAD,,Sentosa,Very Good
238323,RIVER VALLEY ROAD,,The Interlace,Good
238323,RIVER VALLEY ROAD,,The Interlace,So So
238336,RIVER VALLEY ROAD,RIVER VALLEY CONSERVATION AREA,Marina Barrage,Not Good
238349,RIVER VALLEY ROAD,OXLEY EDGE,Sentosa,Very Good
238359,RIVER VALLEY ROAD,YONG AN PARK,Sentosa,Good
238361,RIVER VALLEY ROAD,YONG AN PARK,Raffles City,So So
238370,RIVER VALLEY ROAD,RIVER VALLEY COURT,Sentosa,Not Good
238381,RIVER VALLEY ROAD,RESIDENCES AT 338A,Raffles City,Very Good
238513,PATERSON ROAD,,The Interlace,Good
238514,PATERSON ROAD,,Lau Pa Sat,So So
238515,PATERSON ROAD,OVERSEAS FAMILY SCHOOL,TTSH,Not Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Very Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,So So
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Not Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Very Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,So So
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Not Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Very Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,So So
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Not Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Very Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,So So
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Not Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Very Good
238620,OXLEY ROAD,OXLEY MANSION,Sentosa,Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,So So
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Not Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Very Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,So So
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Not Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Very Good
238622,OXLEY ROAD,OXLEY MANSION,Raffles Institution,Good
238636,OXLEY ROAD,VALLEY MANSION,Sentosa,So So
238643,OXLEY ROAD,VALLEY MANSION,The Interlace,Not Good
238702,OXLEY RISE,HOLLYWOOD APARTMENTS,Raffles Institution,Very Good
238703,OXLEY RISE,HOLLYWOOD APARTMENTS,The Interlace,Good
238708,OXLEY RISE,HOLLYWOOD APARTMENTS,Marina Barrage,So So
238844,ORCHARD ROAD,THE CENTREPOINT,Lau Pa Sat,Not Good
238859,ORCHARD ROAD,THE PARAGON,Night Safari,Very Good
238863,ORCHARD ROAD,LUCKY PLAZA,The Interlace,Good
238874,ORCHARD ROAD,NGEE ANN CITY,Lau Pa Sat,So So
238881,ORCHARD ROAD,LIAT TOWER,Raffles City,Not Good
238883,ORCHARD ROAD,HILTON SINGAPORE,The Interlace,Very Good
238887,ORCHARD ROAD,,Sentosa,Good
238900,ORCHARD ROAD,ROYAL THAI EMBASSY,Sentosa,So So
238901,ORCHARD ROAD,ROYAL THAI EMBASSY,Raffles City,Not Good
238903,ORCHARD ROAD,,The Interlace,Very Good
239007,MOHAMED SULTAN ROAD,72-13,Sentosa,Good
239541,KILLINEY ROAD,,Raffles City,So So
239542,KILLINEY ROAD,,Raffles Institution,Not Good
239543,KILLINEY ROAD,,The Interlace,Very Good
239899,DEVONSHIRE ROAD,THE SUITES AT CENTRAL,Sentosa,Good
247664,DEMPSEY ROAD,DEMPSEY CLUSTER (TANGLIN VILLAGE),Lau Pa Sat,So So
247677,BISHOPSGATE,,Sentosa,Not Good
247678,BISHOPSGATE,,Sentosa,Very Good
247944,TANGLIN ROAD,,Lau Pa Sat,Good
247944,TANGLIN ROAD,,Lau Pa Sat,So So
247944,TANGLIN ROAD,,Lau Pa Sat,Not Good
247944,TANGLIN ROAD,,Lau Pa Sat,Very Good
247944,TANGLIN ROAD,,Lau Pa Sat,Good
247944,TANGLIN ROAD,,Lau Pa Sat,So So
247945,TANGLIN ROAD,,TTSH,Not Good
247946,TANGLIN ROAD,,Marina Barrage,Very Good
247951,TANGLIN ROAD,,Raffles City,Good
247954,TANGLIN ROAD,,Lau Pa Sat,So So
247966,TANGLIN ROAD,TANGLIN REGENCY,Singapore Polytechnic,Not Good
247973,TANGLIN ROAD,BLK N (PHOENIX PARK OFFICE CAMPUS),The Interlace,Very Good
247977,TANGLIN ROAD,BLK E (PHOENIX PARK OFFICE CAMPUS),Singapore Polytechnic,Good
247978,TANGLIN ROAD,BLK G (PHOENIX PARK OFFICE CAMPUS),Sentosa,So So
247979,TANGLIN ROAD,BLK D (PHOENIX PARK OFFICE CAMPUS),Sentosa,Not Good
247982,TANGLIN ROAD,BLK S (PHOENIX PARK OFFICE CAMPUS),Raffles Institution,Very Good
248026,TANGLIN HILL,TANGLIN HILL VILLAS,Sentosa,Good
248029,TANGLIN HILL,TANGLIN HILL VILLAS,Sentosa,So So
248039,TANGLIN HILL,,Sentosa,Not Good
248041,TANGLIN HILL,,Raffles City,Very Good
248292,RIVER VALLEY ROAD,,Raffles Institution,Good
248295,RIVER VALLEY ROAD,,TTSH,So So
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Not Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Very Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,So So
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Not Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Very Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Very Good
248296,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Sentosa,Good
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,So So
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Not Good
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Very Good
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Good
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,So So
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Not Good
248297,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Very Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,So So
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Not Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Very Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,So So
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Not Good
248298,RIVER VALLEY ROAD,RIVER VALLEY APARTMENTS,Night Safari,Very Good
248318,RIVER VALLEY ROAD,,Marina Barrage,Good
248320,RIVER VALLEY ROAD,,Marina Barrage,So So
248326,RIVER VALLEY ROAD,,Marina Barrage,Not Good
248326,RIVER VALLEY ROAD,,Marina Barrage,Very Good
248328,RIVER VALLEY ROAD,,Marina Barrage,Good
248328,RIVER VALLEY ROAD,,Marina Barrage,So So
248345,RIVER VALLEY ROAD,,TTSH,Not Good
248345,RIVER VALLEY ROAD,,TTSH,Very Good
248349,RIVER VALLEY ROAD,,Marina Barrage,Good
248349,RIVER VALLEY ROAD,,Marina Barrage,So So
248349,RIVER VALLEY ROAD,,Marina Barrage,Not Good
248351,RIVER VALLEY ROAD,,Raffles City,Very Good
248351,RIVER VALLEY ROAD,,Raffles City,Good
248351,RIVER VALLEY ROAD,,Raffles City,So So
248354,RIVER VALLEY ROAD,RV RESIDENCES,Lau Pa Sat,Not Good
248359,RIVER VALLEY ROAD,,Marina Barrage,Very Good
248359,RIVER VALLEY ROAD,,Marina Barrage,Good
248360,RIVER VALLEY ROAD,VALLEY PARK,Sentosa,So So
248361,RIVER VALLEY ROAD,,Raffles City,Not Good
248361,RIVER VALLEY ROAD,,Raffles City,Very Good
248362,RIVER VALLEY ROAD,VALLEY PARK,Raffles Institution,Good
248363,RIVER VALLEY ROAD,,The Interlace,So So
248363,RIVER VALLEY ROAD,,The Interlace,Not Good
248363,RIVER VALLEY ROAD,,The Interlace,Very Good
248364,RIVER VALLEY ROAD,VALLEY PARK,Lau Pa Sat,Good
248368,RIVER VALLEY ROAD,VALLEY PARK,Singapore Polytechnic,So So
248371,RIVER VALLEY ROAD,VALLEY POINT,Raffles City,Not Good
248372,RIVER VALLEY ROAD,VALLEY POINT,Raffles Institution,Very Good
248373,RIVER VALLEY ROAD,VALLEY POINT,The Interlace,Good
248425,RIDOUT ROAD,,TTSH,So So
248426,RIDOUT ROAD,,Sentosa,Not Good
248435,RIDOUT ROAD,,TTSH,Very Good
248439,RIDOUT ROAD,,Sentosa,Good
248442,RIDOUT ROAD,,Raffles Institution,So So
248480,RIDLEY PARK,TANGLIN PARK,Sentosa,Not Good
248502,RIDLEY PARK,,Raffles Institution,Very Good
248543,PEIRCE ROAD,,The Interlace,Good
248712,ONE TREE HILL,KIM LIN PARK,Raffles Institution,So So
248713,ONE TREE HILL,KIM LIN PARK,The Interlace,Not Good
248819,MINDEN ROAD,,Marina Barrage,Very Good
248845,LOEWEN ROAD,LOEWEN CLUSTER (TANGLIN VILLAGE),TTSH,Good
248846,LOEWEN ROAD,LOEWEN CLUSTER (TANGLIN VILLAGE),Marina Barrage,So So
249012,JERVOIS ROAD,JERVOIS GARDENS,Raffles Institution,Not Good
249013,JERVOIS ROAD,JERVOIS GARDENS,The Interlace,Very Good
249014,JERVOIS ROAD,JERVOIS GARDENS,Lau Pa Sat,Good
249025,JERVOIS ROAD,JERVOISVILLE,TTSH,So So
249026,JERVOIS ROAD,JERVOISVILLE,Marina Barrage,Not Good
249032,JERVOIS ROAD,JERVOISVILLE,Raffles Institution,Very Good
249033,JERVOIS ROAD,JERVOISVILLE,The Interlace,Good
249035,JERVOIS ROAD,SRI MENANTI ESTATE,TTSH,So So
249036,JERVOIS ROAD,SRI MENANTI ESTATE,Sentosa,Not Good
249040,JERVOIS ROAD,SRI MENANTI ESTATE,Marina Barrage,Very Good
